team,seed
1437,1
1242,2
1257,3
1314,4
1196,5
1124,6
1246,7
1332,8
1112,9
1211,10
1199,11
1139,12
1153,13
1181,14
1438,15
1417,16
1374,17
1388,18
1345,19
1278,20
1173,21
1452,22
1433,23
1268,24
1323,25
1423,26
1455,27
1116,28
1235,29
1166,30
1448,31
1229,31
1376,32
1305,33
1393,34
1462,34
1329,35
1292,36
1274,37
1426,38
1458,39
1425,40
1438,41
1371,42
1435,43
1276,44
1436,46
1277,45
1343,47
1344,48
1321,49
1266,50
1190,51
1103,52
1137,53
1457,54
1167,55
1195,56
1297,57
1233,58
1411,59
1414,60
1291,61
1314,61
1240,62
1355,63
1309,64
1315,64
