Odds1,seed1,seed2
1,6,4
2.5,6,7
2,7,1
2,7,2
13.5,8,8
4,10,7
2.5,12,6
3,13,4
3.5,17,15
5,17,2
5.5,19,1
9.5,22,2
1.5,25,22
4.5,25,8
6,27,7
6,27,3
7,32,4
11,33,2
-2.5,33,31
-3.5,34,29
8.5,34,3
-3.5,35,32
-3.5,36,30
7.5,36,1
-1,37,25
7,38,27
-1,39,26
10,39,2
8,39,3
6,40,6
-4.5,40,28
3,42,22
0,43,23
-2,43,10
-2,44,24
-4,44,39
-1,44,11
3.5,46,21
7,46,12
11,47,17
6,48,27
8,48,18
5.5,49,20
6.5,49,13
9,50,19
10,51,13
5.5,52,14
7.5,52,19
13.5,53,15
7,54,16
13,55,12
14,56,10
8.5,57,11
1.5,58,22
7,58,9
16.5,59,5
6,59,39
15,60,6
17.5,61,7
24.5,63,1
23,64,3
22.5,65,2
22.5,68,4
-1,4,3
4.5,4,1
-1.5,6,4
2,7,3
11,12,1
6,13,4
4.5,17,3
-4.5,17,16
5,18,13
13,19,1
-2.5,20,15
4,23,12
11.5,24,6
5.5,25,3
-2.5,25,15
-1.5,25,11
-1.5,25,34
4.5,25,5
0,26,8
-2,26,12
15.5,29,1
12.5,30,4
2.5,31,15
9.5,31,2
9,32,3
4,33,32
2,35,31
2,36,29
6.5,37,26
2.5,38,27
9.5,39,6
6,40,25
-2,41,23
8.5,42,7
3.5,42,21
2,43,24
4,46,11
4,46,34
3,46,22
6.5,47,20
4.5,48,19
7.5,49,18
6.5,50,17
5,51,14
9.5,52,13
8,53,16
8.5,54,15
9.5,55,10
6,55,24
12,56,12
14,57,9
5.5,57,42
13,58,11
13,58,34
17,60,5
23.5,61,6
17.5,62,7
22,63,2
20.5,64,4
22.5,66,3
34.5,68,1
-3,14,4
4.5,15,1
7.5,16,2
7.5,20,2
1,21,12
4,24,11
4,24,8
5,25,6
7,26,1
0,26,12
5.5,26,14
4,26,5
6,27,8
-2.5,29,26
4,29,13
-2.5,29,6
4.5,29,3
-1,29,8
7.5,30,2
7,31,4
6,33,29
4,34,31
-6,36,32
5.5,36,1
6.5,37,7
4.5,37,28
4.5,38,26
5,39,27
2.5,40,25
6.5,41,22
3,41,37
8.5,41,10
3.5,42,24
4.5,43,21
-6,44,23
2,44,6
20,46,2
3,47,18
3.5,48,35
3.5,48,16
3.5,48,20
3,49,17
8.5,49,14
9.5,50,15
6,50,19
16,51,13
8.5,52,15
8,53,20
15,54,14
13,55,10
13,56,9
8.5,56,44
8.5,58,12
13,59,7
16.5,60,5
15,61,6
14,62,8
19.5,63,4
16.5,68,3
