Season,Team,Seed
2016,Kansas,1
2016,North Carolina,2
2016,Virginia,3
2016,Oregon,4
2016,Michigan St.,5
2016,Oklahoma,6
2016,Villanova,7
2016,Xavier,8
2016,West Virginia,9
2016,Miami (FL),10
2016,Utah,11
2016,Texas A&M,12
2016,Duke,13
2016,California,14
2016,Kentucky,15
2016,Iowa St.,16
2016,Indiana,17
2016,Purdue,18
2016,Maryland,19
2016,Baylor,20
2016,Texas,21
2016,Notre Dame,22
2016,Arizona,23
2016,Seton Hall,24
2016,Wisconsin,25
2016,Dayton,26
2016,Iowa,27
2016,Oregon St.,28
2016,Texas Tech,29
2016,Colorado,30
2016,Southern California,31
2016,Saint Joseph's,32
2016,Providence,33
2016,Butler,34
2016,Cincinnati,35
2016,UConn,36
2016,Pittsburgh,37
2016,Temple,38
2016,Syracuse,39
2016,VCU,40
2016,Vanderbilt,41
2016,Michigan,42
2016,Wichita St.,43
2016,Gonzaga,44
2016,Tulsa,45
2016,UNI,46
2016,Chattanooga,47
2016,Little Rock,48
2016,Yale,49
2016,South Dakota St.,50
2016,UNCW,51
2016,Hawaii,52
2016,Stony Brook,53
2016,Iona,54
2016,Green Bay,55
2016,Buffalo,56
2016,Fresno St.,57
2016,Stephen F. Austin,58
2016,Middle Tenn.,59
2016,CSU Bakersfield,60
2016,UNC Asheville,61
2016,Weber St.,62
2016,Austin Peay,63
2016,Hampton,64
2016,FGCU,65
2016,Fairleigh Dickinson,66
2016,Southern U.,67
2016,Holy Cross,68
2015,Kentucky,1
2015,Villanova,2
2015,Duke,3
2015,Wisconsin,4
2015,Virginia,5
2015,Arizona,6
2015,Gonzaga,7
2015,Kansas,8
2015,Iowa State,9
2015, Baylor,10
2015,Oklahoma,11
2015,Notre Dame,12
2015,North Carolina,13
2015,Maryland,14
2015,Louisville,15
2015,Georgetown,16
2015,Utah,17
2015,Arkansas,18
2015,West Virginia,19
2015,Northern Iowa,20
2015,SMU,21
2015,Providence,22
2015,Butler,23
2015,Xavier,24
2015,Michigan State,25
2015,Wichita State,26
2015,Iowa,27
2015,VCU,28
2015,Cincinnati,29
2015,Oregon,30
2015,NC State,31
2015,San Diego State,32
2015,St. John's,33
2015,Oklahoma State,34
2015,LSU,35
2015,Purdue,36
2015,Indiana,37
2015,Davidson,38
2015,Ohio State,39
2015,Georgia,40
2015,Texas,41
2015,UCLA,42
2015,Ole Miss,43
2015,BYU,44
2015,Boise State,45
2015,Dayton,46
2015,Wyoming,47
2015,Buffalo,48
2015,Wofford,49
2015,Stephen F. Austin,50
2015,Valparaiso,51
2015,Harvard,52
2015,Eastern Washington,53
2015,UC Irvine,54
2015,Georgia State,55
2015,Northeastern,56
2015,UAB,57
2015,Albany,58
2015,New Mexico State,59
2015,Belmont,60
2015,Texas Southern,61
2015,North Dakota State,62
2015,Lafayette,63
2015,Coastal Carolina,64
2015,North Florida,65
2015,Robert Morris,66
2015,Manhattan,67
2015,Hampton,68
2014,Florida,1
2014,Arizona,2
2014,Wichita St.,3
2014,Virginia,4
2014,Villanova,5
2014,Michigan,6
2014,Kansas,7
2014,Wisconsin,8
2014,Duke,9
2014,Syracuse,10
2014,Creighton,11
2014,Iowa St.,12
2014,Louisville,13
2014,Michigan St.,14
2014,UCLA,15
2014,San Diego St.,16
2014,Cincinnati,17
2014,Saint Louis,18
2014,VCU,19
2014,Oklahoma,20
2014,North Carolina,21
2014,Ohio St.,22
2014,Massachusetts,23
2014,Baylor,24
2014,Texas,25
2014,UConn,26
2014,Oregon,27
2014,New Mexico,28
2014,Kentucky,29
2014,Gonzaga,30
2014,Memphis,31
2014,Colorado,32
2014,Kansas St.,33
2014,George Washington,34
2014,Oklahoma St.,35
2014,Pittsburgh,36
2014,Stanford,37
2014,Saint Joseph’s,38
2014,BYU,39
2014,Arizona St.,40
2014,Dayton,41
2014,Nebraska,42
2014,Providence,43
2014,Tennessee,44
2014,Iowa,45
2014,Xavier,46
2014,North Carolina St.,47
2014,North Dakota St.,48
2014,Harvard,49
2014,Stephen F. Austin,50
2014,Manhattan,51
2014,Tulsa,52
2014,New Mexico St.,53
2014,Delaware,54
2014,Western Mich.,55
2014,Mercer,56
2014,La.-Lafayette,57
2014,N.C. Central,58
2014,Eastern Ky.,59
2014,Milwaukee,60
2014,Wofford,61
2014,American,62
2014,Coastal Carolina,63
2014,Weber St.,64
2014,Mt. St. Mary’s,65
2014,Albany,66
2014,Texas Southern,67
2014,Cal Poly,68
