Season,Team1,Team2,Odds1
2016,UNC,Duke,10
2016,Butler,Texas Tech,-3.5
2016,Conneticut,Colorado,-3.5
2016,Iona,Iowa St.,7
2016,Yale,Baylor,5.5
2016,Hampton,Virginia,23
2016,Austin Peay,Kansas,24.5
2016,Ark-Little Rock,Purdue,8
2016,Buffalo,Miami,14
2016,Florida State,Valparaiso,4.5
2016,Chattanooga,Indiana,11
2016,Florida Gulf,North Carolina,22.5
2016,Fresno,Utah,8.5
2016,Wichita,Arizona,0
2016,Stony Brook,Kentucky,13.5
2016,Providence,USC,-2.5
2016,Gonzaga,Seton Hall,-2
2016,Jackson State,Grand Canyon,10.5
2016,Syracuse,Dayton,-1
2016,UNC,Villanova,17.5
2016,Virginia Commonwealth,Oregon State,-4.5
2016,Hawaii,Cal,5.5
2016,Middle Tenessee,Michigan State,16.5
2016,Temple,Iowa,7
2016,CS Bakersfield,Oklahoma,15
2016,South Dakota State,Maryland,9
2016,Pittsburgh,Wisconsin,-1
2016,Stephen F. Aust,West Virginia,7
2016,Wisc-Green,Texas A&M,13
2016,Holy Cross,Oregon,22.5
2016,Weber State,Xavier,13.5
2016,Virginia Tech,BYU,8
2016,Michigan,Notre Dame,3
2016,Northern Iowa,Texas,3.5
2016,Cincinnati,Saint Joseph's,-3.5
2016,Wichita State,Miami,-2
2016,Yale,Duke,6.5
2016,Indiana,Kentucky,3.5
2016,Ark-Little Rock,Iowa,6
2016,Butler,Virginia,8.5
2016,Conneticut,Kansas,7.5
2016,Gonzaga,Utah,-1
2016,Providence,North Carolina,11
2016,Florida,Ohio,-1.5
2016,Iowa,Villanova,6
2016,Stephen F. Aust,Notre Dame,1.5
2016,Virginia Commonwealth,Oklahoma,6
2016,Middle Tenessee,Syracuse,6
2016,Hawaii,Maryland,7.5
2016,Georgia,St. Mary's,-7
2016,Northern Iowa,Texas A&M,7
2016,Wisconsin,Xavier,4.5
2016,Saint Joseph's,Oregon,7
2016,Miami,Villanova,4
2016,Texas A&M,Oklahoma,2.5
2016,Maryland,Kansas,5.5
2016,Duke,Oregon Ducks,3
2016,Iowa,Virginia,6
2016,Wisconsin,Notre Dame,1.5
2016,Gonzaga,Syracuse,-4
2016,Indiana,North Carolina,5
2016,Oklahoma,Oregon,1
2016,Villanova,Kansas,2
2016,Syracuse,Virginia,8
2016,Notre Dame,North Carolina,9.5
2016,Oklahoma,Villanova,2.5
2016,Syracuse,North Carolina,10
2016,Villanova,North Carolina,2
2015,Northeastern,Notre Dame,12
2015,UAB,Iowa St.,14
2015,Georgia St.,Baylor,9.5
2015,Texas Southern,Arizona,23.5
2015,Texas,Butler,-2
2015,UCLA,Southern Methodist,3.5
2015,Mississippi,Xavier,2
2015,Ohio St.,Virginia Commonwealth,-3.5
2015,Lafayette,Villanova,22
2015,Purdue,Cincinatti,2
2015,Harvard,North Carolina,9.5
2015,Stephen F. Aust,Utah,6.5
2015,LSU,North Carolina St.,2
2015,Hampton,Kentucky,34.5
2015,Wofford,Arkansas,7.5
2015,Eastern Washington,Georgetown,8
2015,New Mexico,Kansas,9.5
2015,Georgia,Michigan State,6
2015,Wyoming,Northern Iowa,6.5
2015,Buffalo,West Virginia,4.5
2015,Indiana,Wichita St.,6.5
2015,Belmont,Virginia,17
2015,UC Irvine,Louisville,8.5
2015,Valpariso,Maryland,5
2015,Oklahoma St,Oregon,0
2015,Robert Morris,Duke,22.5
2015,Davidson,Iowa,2.5
2015,Albany,Oklahoma,13
2015,Coastal Carolina,Wisconson,20.5
2015,South Dakota State,Vanderbilt,8.5
2015,St John's,San Diego,4
2015,North Dakota St.,Gonzaga,17.5
2015,Dayton,Providence,3
2015,Alabama,Miami,4.5
2015,UAB,UCLA,5.5
2015,Cincinnati,Kentucky,15.5
2015,Ohio St.,Arizona,9.5
2015,Georgia St.,Xavier,6
2015,North Carolina St.,Villanova,9.5
2015,Utah,Georgetown,-4.5
2015,Arkansas,North Carolina,5
2015,Butler,Notre Dame,4
2015,George Washington,Temple,4.5
2015,Michigan St,Virginia,4.5
2015,San Diego,Duke,9
2015,Wichita State,Kansas,0
2015,Dayton,Oklahoma,4
2015,Iowa,Gonzaga,6
2015,Oregon,Wisconson,12.5
2015,Northern Iowa,Louisville,-2.5
2015,Wichita State,Notre Dame,-2
2015,North Carolina,Wisconson,6
2015,West Virginia,Kentucky,13
2015,Xavier,Arizona,11.5
2015,UCLA,Gonzaga,8.5
2015,North Carolina St.,Louisville,2.5
2015,Utah,Duke,4.5
2015,Michigan St,Oklahoma,-1.5
2015,Arizona,Wisconson,-1.5
2015,Notre Dame,Kentucky,11
2015,Michigan St,Louisville,-2.5
2015,Gonzaga,Duke,2
2015,Michigan St,Duke,5.5
2015,Wisconsin,Kentucky,4.5
2015,Wisconsin,Duke,-1
2014,Dayton,Ohio St,6.5
2014,American,Wisconson,14
2014,Pittsburgh,Colorado,-6
2014,Harvard,Cincinatti,3
2014,Western Michigan,Syracuse,13
2014,BYU,Oregon,5
2014,Albany,Florida,22
2014,Delaware,Michigan State,15
2014,Saint Joseph's,Connecticut,4.5
2014,Wofford,Michigan,15
2014,North Carolina St.,Saint Louis,3
2014,North Dakota St.,Oklahoma,3.5
2014,Wisc-Milwaukee,Villanova,16.5
2014,Arizona St,Texas,2.5
2014,Manhattan,Louisville,16
2014,New Mexico St,San Diego St,8
2014,Mercer,Duke,13
2014,Nebraska,Baylor,3.5
2014,Stanford,New Mexico,4.5
2014,Weber State,Arizona,20
2014,Tennesee,Massachusetts,-6
2014,Louisiana-Lafayette,Creighton,13.5
2014,Eastern Kentucky,Kansas,13
2014,Oklahoma St,Gonzaga,-4
2014,George Washington,Memphis,4
2014,Cal Poly,Wichita St.,16.5
2014,Providence,North Carolina,4.5
2014,Stephen F. Aust,Virginia Commonwealth,6
2014,Coastal Carolina,Virginia,19.5
2014,Robert Morris,Belmont,9
2014,Kansas State,Kentucky,6
2014,North Carolina Central,Iowa St.,8.5
2014,Tulsa,UCLA,8.5
2014,Texas,Michigan,5
2014,Pittsburgh,Florida,5.5
2014,North Dakota St.,San Diego St,3.5
2014,Dayton,Syracuse,8.5
2014,Oregon,Wisconson,6
2014,Harvard,Michigan State,8.5
2014,Conneticut,Villanova,4
2014,Stanford,Kansas,6.5
2014,Kentucky,Wichita St.,4.5
2014,St. Marys,Minnesota,6.5
2014,Southern Miss,Missouri,4.5
2014,North Carolina,Iowa St.,1
2014,Mercer,Tennessee,8.5
2014,Stephen F. Aust,UCLA,9.5
2014,Baylor,Creighton,4
2014,Memphis,Virginia,7
2014,Gonzaga,Arizona,7.5
2014,Dayton,Stanford,3
2014,Baylor,Wisconson,4
2014,UCLA,Florida,4.5
2014,San Diego St,Arizona,7.5
2014,Tennesee,Michigan,2
2014,Conneticut,Iowa St.,0
2014,Kentucky,Louisville,4
2014,Michigan St,Virginia,-3
2014,Conneticut,Michigan State,5.5
2014,Kentucky,Michigan,-2.5
2014,Conneticut,Florida,7
2014,Kentucky,Wisconson,-1
2014,Kentucky,Connecticut,-2.5
